ticket_id,user_id,tech_id,issue_type,priority,status,created_date,resolved_date
1,1,1,"Password Reset",Low,Resolved,2026-01-10,2026-01-10
2,2,2,"Printer Issue",Medium,Resolved,2026-01-11,2026-01-12
3,3,1,"System Crash",High,Resolved,2026-01-12,2026-01-14
4,4,3,"Email Not Working",Medium,Open,2026-01-15,NULL
5,5,2,"Internet Problem",High,Resolved,2026-01-16,2026-01-17
6,6,4,"VPN Issue",High,Resolved,2026-02-01,2026-02-02
7,7,5,"Software Installation",Low,Resolved,2026-02-01,2026-02-01
8,8,6,"Blue Screen Error",High,Resolved,2026-02-02,2026-02-04
9,9,4,"Account Locked",Medium,Resolved,2026-02-03,2026-02-03
10,10,5,"Slow Performance",Medium,Open,2026-02-04,NULL
11,11,6,"Network Failure",High,Resolved,2026-02-05,2026-02-07
12,12,4,"Email Sync Error",Medium,Resolved,2026-02-06,2026-02-06
13,13,5,"Printer Issue",Low,Resolved,2026-02-07,2026-02-08
14,14,6,"Access Denied",High,Open,2026-02-08,NULL
15,15,4,"Password Reset",Low,Resolved,2026-02-09,2026-02-09
16,6,5,"Internet Problem",Medium,Resolved,2026-02-10,2026-02-11
17,7,6,"Software Crash",High,Resolved,2026-02-11,2026-02-13
18,8,4,"VPN Issue",High,Resolved,2026-02-12,2026-02-13
19,9,5,"Email Not Working",Medium,Resolved,2026-02-13,2026-02-14
20,10,6,"Blue Screen Error",High,Resolved,2026-02-14,2026-02-16
21,11,4,"System Crash",High,Resolved,2026-02-15,2026-02-17
22,12,5,"Slow Performance",Medium,Resolved,2026-02-16,2026-02-17
23,13,6,"Software Installation",Low,Resolved,2026-02-17,2026-02-17
24,14,4,"Account Locked",Medium,Resolved,2026-02-18,2026-02-18
25,15,5,"Network Failure",High,Open,2026-02-19,NULL
